Concept,Your Description,Refined & Easy-to-Understand Definition,Key Distinction
Authentication,Check if person have the permission do specific things,Proving you are who you say you are. It's like showing your ID at a security desk.,"vs. Authorization: Authentication is about identity. Authorization is about permissions. You authenticate first, then you are authorized."
Authorization,The right/permission to do a specific task is granted to an entity,The permissions you are given after you prove who you are. It's the list of rooms your keycard can open.,vs. Authentication: You can't be authorized until you've been authenticated.
Confidentiality,Data can only be accessed by persons with the right authorization,Keeping secrets secret. Ensuring that only the right people can see the information. Think of a sealed letter.,vs. Integrity: Confidentiality is about secrecy. Integrity is about the data not being changed or tampered with.
Integrity,Information is protected from being modified by unauthorized parties,Ensuring data is trustworthy and has not been changed. It's making sure the letter inside the sealed envelope hasn't been altered.,vs. Confidentiality: A file could be public (not confidential) but still require high integrity (like a software download you don't want infected with a virus).
Availability,Ensure information is always available to the end-user,Ensuring that systems and data are ready and accessible when authorized users need them. It's making sure the post office is open when you need to get your letter.,
Risk,A measure of events which an entity is threatened by a potential circumstance,The potential for loss when a threat exploits a vulnerability. Think of it as the realistic danger to your assets.,vs. Threat: A threat is a potential danger (like a hurricane). Risk is the likelihood the hurricane will hit your specific house and the impact it would have.
Threat,Circumstance or events that could cause harm to the system,"Anything that could potentially harm an asset. It's the ""what could go wrong?""",vs. Vulnerability: A threat is the actor or event (the burglar). A vulnerability is the weakness the threat exploits (the unlocked window).
Vulnerability,Weakness in an information system,A weakness or gap in security that can be exploited. It's the unlocked window a burglar could climb through.,vs. Threat: You can have a vulnerability (unlocked window) without a threat (no burglars in the area).
Encryption,Converting content to unreadable,Scrambling data using a secret key so that only authorized parties can read it. It's writing your letter in a secret code.,A primary technical control used to enforce the principle of confidentiality.
Administrative Control,Gain people's president on policy and procedures,"Security rules for people. These are policies, procedures, and training that direct human behavior. Example: A rule stating you must lock your computer when you leave your desk.",vs. Technical Control: An admin control is a rule for a person. A technical control is a setting in a machine (like the computer auto-locking after 5 minutes).
